Job Title,Company Name,Location,Experience Level,Industry,No of Applications,Domain,AI_Impact_Category
Global Investment Research - GIR Technology - Associate - Bengaluru,Goldman Sachs,"Bengaluru, Karnataka, India",Associate,Financial Services,94,AI/ML Engineer,AI Adoption Affected
Data Engineer 1,JLL,"Bengaluru, Karnataka, India",Associate,Real Estate,104,AI/ML Engineer,AI Adoption Affected
Data Scientist Instructor,Uplers,"Sonipat, Haryana, India",Associate,Software Development,25,AI/ML Engineer,AI Adoption Affected
Lead Technical Support Engineer,Mareana,"Bengaluru, Karnataka, India",Associate,Pharmaceutical Manufacturing,200,AI/ML Engineer,Low AI Impact
Associate Architect,MyCareernet,"Bengaluru, Karnataka, India",Associate,Retail ,25,AI/ML Engineer,AI Adoption Affected
AI/ML Software Engineer,eBay,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,Impetus,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
Artificial Intelligence Engineer,DXC Technology,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
AI/ML ENGINEER,Terralogic,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,114,AI/ML Engineer,AI Adoption Affected
Data Scientist (Gen AI/Agent AI),Brillio,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,183,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,RingCentral,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,Recro,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,200,AI/ML Engineer,AI Adoption Affected
AI Data Scientist,GreenTree Advisory Services Pvt Ltd,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,112,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Lifesight,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,99,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer MCP-Agentic,Dell Technologies,"Bengaluru, Karnataka, India",Mid-Senior level,Computer Hardware Manufacturing,200,AI/ML Engineer,AI Adoption Affected
AI/ML GCP Engineer,Endava,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,70,AI/ML Engineer,AI Adoption Affected
Data science & ML Engineer,krtrimaIQ Cognitive Solutions,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,LAPP Group,"Bengaluru, Karnataka, India",Mid-Senior level,"Appliances, Electrical, and Electronics Manufacturing",200,AI/ML Engineer,AI Adoption Affected
Python AI/ML Engineer II - Flask/FastAPI,GeekyAnts,"Bengaluru, Karnataka, India",Mid-Senior level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",44,AI/ML Engineer,AI Adoption Affected
Sony - Artificial Intelligence/Machine Learning Engineer,Sony India Software Centre,"Bengaluru, Karnataka, India",Mid-Senior level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",200,AI/ML Engineer,AI Adoption Affected
Machine Learning Engineer,NetApp,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,200,AI/ML Engineer,AI Adoption Affected
Senior Python AI/ML Engineer,Endava,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,37,AI/ML Engineer,AI Adoption Affected
AI/ ML Engineer,Tata Consultancy Services,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,35,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,Standard Chartered India,"Bengaluru, Karnataka, India",Mid-Senior level,Banking,186,AI/ML Engineer,AI Adoption Affected
Senior AI/ML Engineer,Uber,"Bengaluru, Karnataka, India",Mid-Senior level,Internet Marketplace Platforms,125,AI/ML Engineer,AI Adoption Affected
Data Scientist - AI/ML,LSEG,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,200,AI/ML Engineer,Automation Affected
Senior AI/ML Solutions Engineer,Finastra,"Bengaluru, Karnataka, India",Mid-Senior level,Banking,42,AI/ML Engineer,AI Adoption Affected
Senior AI/ML Engineer,RingCentral,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,184,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
Lead AI/ML Engineer,AMD,"Bengaluru, Karnataka, India",Mid-Senior level,Semiconductor Manufacturing,200,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,45,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,34,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,Relanto,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,65,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,33,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
"Senior Software Engineer, ML",Relyance AI,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
Senior Machine Learning Engineer - NLP,Observe.AI,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,187,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,Capgemini,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,158,AI/ML Engineer,Automation Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,52,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
Senior AI-ML Engineer,Karbon Business,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer - II,GeekyAnts,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,34,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,30,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,37,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,26,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,28,AI/ML Engineer,AI Adoption Affected
Machine Learning Engineer II,Coursera,"Bengaluru, Karnataka, India",Mid-Senior level,E-Learning Providers,200,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,27,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,54,AI/ML Engineer,AI Adoption Affected
Lead Machine Learning Engineer - NLP,Observe.AI,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,200,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
Sr Lead- AI/ML Engineer,Northern Trust,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,25,AI/ML Engineer,AI Adoption Affected
"AI/ML Engineer - Python, Scikit Learn, TensorFlow or PyTorch",Optum,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
Artificial Intelligence/Machine Learning Engineer - Python/LLM,FAIRPLAYMX,"Hyderabad, Telangana, India",Mid-Senior level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer - Join our growing community,Xenon Seven,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,Low AI Impact
AI/ML Engineer,NationsBenefits,"Hyderabad, Telangana, India",Mid-Senior level,Government Administration,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,VidPro Consultancy Services,"Hyderabad, Telangana, India",Mid-Senior level,Human Resources Services,25,AI/ML Engineer,AI Adoption Affected
Sr. AI/ ML Engineer,Soulax,"Hyderabad, Telangana, India",Mid-Senior level,"Technology, Information and Internet",74,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture services Pvt Ltd,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,83,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,Clovertex,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,122,AI/ML Engineer,AI Adoption Affected
Machine Learning Engineer,Deccan AI,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,149,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,90,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,52,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,131,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,29,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,45,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,69,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,37,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,42,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,28,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,49,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,112,AI/ML Engineer,AI Adoption Affected
Senior Software Engineer - AI/ML Platform,Fanatics,"Hyderabad, Telangana, India",Mid-Senior level,"Technology, Information and Internet",25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,83,AI/ML Engineer,AI Adoption Affected
